year,month,day,t(day),p(day),t(night),p(night),wspeed,wdir
1998,8,18,20,745,14,746,3,С
1998,8,19,21,745,14,744,2,Ю
1998,8,20,19,741,14,744,5,СЗ
1998,8,21,21,747,13,747,3,З
1998,8,22,24,743,20,740,3,Ю
1998,8,23,19,739,16,739,1,ЮЗ
1998,8,25,14,741,13,738,4,ЮЗ
1998,8,26,13,735,12,736,4,З
1998,8,29,16,743,11,745,4,З
1998,8,30,17,744,12,743,3,СВ
1998,8,31,12,735,12,737,1,СВ
1998,9,1,8,742,7,744,3,С
1998,9,2,7,747,3,748,2,С
1998,9,3,9,747,7,745,0,Ш
1998,9,4,8,749,6,750,2,СВ
1998,9,5,12,753,6,753,4,СЗ
1998,9,6,13,753,6,753,1,С
1998,9,7,16,753,5,751,2,З
1998,9,8,16,750,10,750,2,СЗ
1998,9,9,17,753,10,753,0,Ш
1998,9,10,20,755,13,753,2,ЮЗ
1998,9,11,20,751,10,750,3,ЮЗ
1998,9,12,23,751,14,750,4,З
1998,9,13,23,750,18,748,4,Ю
1998,9,14,21,747,17,744,5,ЮВ
1998,9,15,24,738,14,741,7,Ю
1998,9,16,18,736,16,736,2,ЮВ
1998,9,17,15,746,11,747,3,ЮЗ
1998,9,18,19,752,12,753,1,Ю
1998,9,19,19,755,15,755,1,СВ
1998,9,20,20,754,12,754,4,С
1998,9,21,16,753,12,753,4,С
1998,9,22,17,748,11,747,4,СЗ
1998,9,23,13,746,7,747,3,СЗ
1998,9,24,11,746,9,743,3,З
1998,9,25,8,742,6,745,6,СЗ
1998,9,26,8,752,0,753,2,СЗ
1998,9,27,10,753,9,751,3,ЮВ
1998,9,28,9,744,10,743,5,Ю
1998,9,29,10,744,9,742,1,СВ
1998,9,30,7,739,5,738,2,С
1998,10,1,2,741,1,741,3,СВ
1998,10,2,0,747,1,750,7,С
1998,10,3,4,752,1,753,3,СВ
1998,10,4,5,753,-1,752,2,СЗ
1998,10,5,6,750,4,748,0,Ш
1998,10,6,5,748,1,753,4,С
1998,10,7,5,759,0,760,4,С
1998,10,8,7,762,1,759,3,З
1998,10,9,5,753,5,751,4,ЮЗ
1998,10,10,9,746,9,742,3,Ю
1998,10,11,12,738,8,735,3,Ю
1998,10,12,11,743,7,746,4,З
1998,10,13,12,746,12,743,4,ЮВ
1998,10,14,10,746,8,747,1,С
1998,10,15,6,745,4,744,3,ЮЗ
1998,10,16,9,741,5,740,5,ЮЗ
1998,10,18,16,740,10,740,5,ЮЗ
1998,10,19,10,745,4,747,3,З
1998,10,21,3,741,3,744,4,СЗ
1998,10,22,6,753,2,754,3,З
1998,10,23,6,753,6,753,4,Ю
1998,10,24,10,753,9,753,3,ЮЗ
1998,10,25,9,753,4,753,4,Ю
1998,10,26,7,748,7,746,6,ЮВ
1998,10,27,8,742,9,741,5,ЮВ
1998,10,28,7,741,5,741,4,ЮЗ
1998,10,29,6,730,4,732,5,Ю
1998,10,30,5,732,4,729,3,ЮВ
1998,10,31,5,738,3,740,4,ЮЗ
1998,11,1,6,741,3,741,3,Ю
1998,11,2,4,739,3,734,4,ЮВ
1998,11,3,3,731,3,737,6,З
1998,11,4,7,735,3,738,6,З
1998,11,5,0,739,0,738,1,СВ
1998,11,6,1,738,1,740,3,З
1998,11,7,3,742,0,742,2,З
1998,11,8,-2,746,-2,746,2,СЗ
1998,11,9,-3,747,-6,747,3,СЗ
1998,11,10,-8,750,-11,752,3,СЗ
1998,11,11,-14,757,-17,759,2,С
1998,11,12,-12,762,-14,761,2,ЮВ
1998,11,13,-9,753,-12,751,6,ЮВ
1998,11,14,-8,746,-10,747,1,З
1998,11,15,-2,750,-7,753,1,С
1998,11,16,-9,755,-12,754,3,СВ
1998,11,17,-11,749,-13,748,5,В
1998,11,18,-10,744,-9,744,4,СВ
1998,11,19,-10,745,-11,748,3,С
1998,11,20,-16,756,-16,758,1,СЗ
1998,11,21,-17,765,-22,767,1,СЗ
1998,11,22,-16,768,-15,766,2,ЮЗ
1998,11,23,-6,762,-8,762,3,З
1998,11,24,-5,761,-7,760,2,З
1998,11,25,-2,758,-12,758,1,С
1998,11,26,-10,760,-7,761,1,С
1998,11,27,-2,763,-3,764,3,В
1998,11,28,-8,768,-12,767,3,ЮВ
1998,11,29,-16,767,-19,766,3,В
1998,11,30,-19,766,-21,767,2,ЮВ
1998,12,1,-20,769,-23,769,1,С
1998,12,2,-13,765,-13,762,4,З
1998,12,4,-8,756,-10,756,3,Ю
1998,12,6,0,740,1,739,1,В
1998,12,7,-2,747,-6,750,4,З
1998,12,8,-7,754,-8,754,2,ЮЗ
1998,12,9,-9,756,-8,757,1,СВ
1998,12,10,-6,752,-5,748,4,СВ
1998,12,11,0,740,-9,742,4,Ю
1998,12,12,-12,745,-11,729,3,Ю
1998,12,13,-9,742,-15,744,0,Ш
1998,12,14,-15,751,-17,753,2,СЗ
1998,12,15,-18,756,-12,754,1,Ю
1998,12,16,-1,745,-1,744,5,ЮЗ
1998,12,17,0,743,0,744,3,З
1998,12,18,0,741,0,739,5,ЮЗ
1998,12,19,1,738,1,736,3,ЮЗ
1998,12,20,-1,734,-1,734,4,ЮЗ
1998,12,21,1,736,0,736,4,ЮЗ
1998,12,22,-8,741,-13,744,4,СЗ
1998,12,23,-15,749,-13,747,3,ЮЗ
1998,12,24,-14,756,-18,758,1,З
1998,12,25,-8,750,-9,748,6,Ю
1998,12,26,-3,744,-3,743,6,ЮЗ
1998,12,27,0,739,-2,738,8,ЮЗ
1998,12,28,3,742,1,744,4,З
1998,12,29,2,745,2,741,5,ЮЗ
1998,12,30,1,746,0,749,5,СЗ
1998,12,31,-4,757,-6,760,4,С
1999,1,1,-7,757,-8,754,4,ЮЗ
1999,1,2,-8,753,-10,753,1,Ю
1999,1,3,-5,752,-5,751,3,Ю
1999,1,4,-4,751,-2,750,2,ЮЗ
1999,1,5,0,745,-1,741,7,Ю
1999,1,6,2,735,0,737,4,З
1999,1,7,2,724,2,722,5,ЮЗ
1999,1,8,-6,729,-10,734,3,СЗ
1999,1,9,-9,739,-11,741,2,ЮЗ
1999,1,10,-11,744,-10,744,2,ЮВ
1999,1,11,-12,751,-14,756,4,С
1999,1,12,-18,759,-18,757,0,Ш
1999,1,13,-9,747,-8,745,6,ЮВ
1999,1,14,-2,746,-2,746,3,Ю
1999,1,15,0,743,1,741,4,ЮВ
1999,1,16,0,748,-1,750,1,З
1999,1,17,-3,756,-3,757,1,ЮЗ
1999,1,18,-1,756,-5,755,4,ЮЗ
1999,1,19,-5,754,-3,756,2,З
1999,1,20,-5,756,-7,753,3,ЮЗ
1999,1,21,-1,751,-1,751,2,З
1999,1,22,0,744,-4,742,4,ЮЗ
1999,1,23,0,744,0,745,5,З
1999,1,24,0,744,0,744,3,З
1999,1,25,-3,741,-2,738,3,Ю
1999,1,26,1,728,2,727,7,ЮЗ
1999,1,27,-5,738,-3,739,0,Ш
1999,1,28,0,739,0,738,2,В
1999,1,29,0,739,0,743,3,Ю
