,year,month,day,td,pd,cloudd,precipd,wdird,wsd,tn,pn,cloudn,precipn,wdirn,wsn
244,1997,12,6,-3.0,741,dull,snow,В,2,-3.0,740,dull,snow,В,2
245,1997,12,7,-3.0,743,dull,snow,ЮЗ,3,-2.0,743,dull,snow,ЮЗ,3
246,1997,12,8,-4.0,745,dull,,СВ,2,-4.0,746,suncl,snow,СВ,2
247,1997,12,9,-4.0,745,dull,snow,С,3,-4.0,745,dull,snow,С,3
248,1997,12,10,-5.0,744,dull,snow,С,2,-6.0,742,dull,snow,С,2
249,1997,12,11,-3.0,740,dull,snow,СЗ,1,-4.0,739,dull,snow,СЗ,1
250,1997,12,12,-11.0,745,sun,,СЗ,2,-14.0,746,dull,,СЗ,2
251,1997,12,13,-7.0,750,dull,snow,С,3,-8.0,750,dull,snow,С,3
252,1997,12,14,-19.0,759,sunc,,СВ,3,-24.0,762,sun,,СВ,3
253,1997,12,15,-25.0,770,sun,,С,4,-28.0,772,sun,,С,4
254,1997,12,16,-27.0,774,sunc,,ЮЗ,1,-27.0,773,sun,,ЮЗ,1
255,1997,12,17,-11.0,756,dull,snow,З,6,-9.0,751,dull,,З,6
256,1997,12,18,-5.0,743,dull,,СЗ,3,-5.0,744,sun,,СЗ,3
257,1997,12,19,-9.0,748,suncl,snow,ЮЗ,1,-7.0,744,dull,snow,ЮЗ,1
258,1997,12,20,-3.0,741,suncl,,СЗ,3,-8.0,745,sun,,СЗ,3
259,1997,12,21,-11.0,749,suncl,,З,3,-9.0,751,dull,,З,3
260,1997,12,22,-14.0,758,suncl,,Ю,3,-15.0,757,dull,,Ю,3
261,1997,12,23,-14.0,754,suncl,,Ю,3,-15.0,753,suncl,,Ю,3
262,1997,12,26,-2.0,741,dull,snow,Ю,4,0.0,738,dull,,Ю,4
263,1997,12,27,1.0,738,dull,,ЮЗ,4,1.0,739,dull,,ЮЗ,4
264,1997,12,28,0.0,741,dull,,Ю,2,0.0,744,dull,,Ю,2
265,1997,12,29,0.0,747,dull,,Ю,1,-1.0,748,dull,,Ю,1
266,1997,12,30,0.0,748,dull,,ЮВ,2,0.0,748,sunc,,ЮВ,2
267,1997,12,31,0.0,748,dull,,ЮВ,4,0.0,747,dull,,ЮВ,4
268,1998,1,1,0.0,748,dull,,ЮВ,3,0.0,750,dull,,ЮВ,3
269,1998,1,2,0.0,751,dull,,Ю,3,0.0,750,dull,,Ю,3
270,1998,1,3,-1.0,750,dull,,Ю,4,-1.0,749,dull,snow,Ю,4
271,1998,1,4,1.0,747,dull,,Ю,5,1.0,746,dull,,Ю,5
272,1998,1,5,0.0,745,dull,snow,Ю,5,-1.0,746,dull,,Ю,5
273,1998,1,6,-3.0,746,dull,,Ю,3,-3.0,745,dull,,Ю,3
274,1998,1,7,-1.0,746,dull,,Ю,4,-2.0,747,dull,,Ю,4
275,1998,1,8,0.0,743,dull,,Ю,3,0.0,741,dull,snow,Ю,3
276,1998,1,9,-1.0,738,dull,,С,3,-2.0,739,dull,snow,С,3
277,1998,1,10,-4.0,746,dull,snow,С,5,-6.0,750,dull,,С,5
278,1998,1,11,-9.0,747,dull,,Ю,5,-7.0,738,dull,,Ю,5
279,1998,1,12,-1.0,741,dull,,СЗ,2,-1.0,741,dull,snow,СЗ,2
280,1998,1,13,-7.0,743,dull,snow,СВ,2,-8.0,744,dull,snow,СВ,2
281,1998,1,14,-12.0,752,sunc,,СЗ,2,-18.0,753,sun,,СЗ,2
282,1998,1,15,-16.0,756,suncl,,Ш,0,-17.0,756,dull,,Ш,0
283,1998,1,16,-7.0,753,dull,snow,Ю,2,-5.0,751,dull,,Ю,2
284,1998,1,17,-3.0,751,dull,,ЮВ,3,-4.0,751,dull,,ЮВ,3
285,1998,1,18,-8.0,752,suncl,,Ю,5,-9.0,751,dull,snow,Ю,5
286,1998,1,19,-5.0,752,dull,snow,ЮВ,3,-6.0,753,dull,,ЮВ,3
287,1998,1,20,-6.0,756,dull,,ЮВ,4,-9.0,757,sun,,ЮВ,4
288,1998,1,21,-8.0,765,sun,,ЮВ,2,-13.0,766,sun,,ЮВ,2
289,1998,1,22,-9.0,768,dull,,ЮЗ,1,-9.0,766,dull,,ЮЗ,1
290,1998,1,23,-7.0,759,suncl,,ЮЗ,3,-10.0,757,sun,,ЮЗ,3
291,1998,1,24,-6.0,752,sunc,,ЮЗ,3,-8.0,750,suncl,,ЮЗ,3
292,1998,1,25,-7.0,753,sunc,,СЗ,4,-14.0,754,sun,,СЗ,4
293,1998,1,26,-3.0,753,dull,snow,З,2,-5.0,752,suncl,,З,2
294,1998,1,27,-2.0,744,dull,,ЮЗ,4,-2.0,743,dull,snow,ЮЗ,4
